AUTHOR	COAUTHORS
David Hirshleifer	{'Sonya Seongyeon Lim': 1, 'Siew Hong Teoh': 1}
David Hummels	{'James Levinsohn': 1}
David I. Fand	{'Ira O. Scott,': 1}
David I. Levine	{}
David Ivor	{'James A. Maxwell': 1}
David J. Denis	{'Antonio J. Macias': 1}
David J. Holden	{}
David J. Jeremy	{'G. R. Searle': 1}
David J. Lewis	{'Andrew J. Plantinga': 1, 'Gary L. Hunt': 1}
David J. Meade	{'M. S. Seppanen': 1, 'S. Kumar': 1, 'C. Chandra': 1}
David J. Ott	{'Attiat F. Ott': 1}
David J. Pannell	{}
David J. Prottas	{}
David J. Rachman	{'Allen E. Zimmer': 1}
David J. Salant	{}
David J. Skyrme	{}
David J. Stanley	{'Laryssa Topolnytsky': 1, 'John P. Meyer': 1}
David J. Walsh	{'Jonathan D. Rosenblum': 1}
David Jenkins	{}
David John Farmer	{}
David K. Eiteman	{'George W. Dowrie': 1, 'Francis J. Calkins': 1, 'Douglas R. Fuller': 1}
David K. Foot	{}
David K. Lambert	{'W. Douglass Shaw': 1}
David K. Levine	{'Wolfgang Pesendorfer': 1, 'Karl Shell': 1, 'Arthur J. Rolnick': 1}
David K. Round	{}
David Karemera	{'Gerald Smalls': 1, 'Louis Whiteside': 1, 'Won Koo': 1}
David Kaye	{}
David Kendrick	{}
David Kinley	{'Augustin Ross': 1}
David Kucera	{'William Milberg': 1}
David L. Carlton	{'Allen Tullos': 1}
David L. Cole	{'George W. Taylor': 1, 'Robben W. Flemming': 1, 'Arthur Burns': 1}
David L. Dicks	{}
David L. Dillman	{"Barry O'Toole": 1}
David L. Fruend	{'Kenneth Roman': 1, 'Jane Maas': 1}
David L. Hall	{'Alexander Nauda': 1}
David L. Kaserman	{'John W. Mayo': 1, 'William G. Shepherd': 1, 'Kenneth D. Boyer': 1}
David L. Smith	{}
David L. Weimer	{}
David Laibman	{'Michael J. Webber': 1, 'David L. Rigby': 1}
David Laidler	{'Michael Parkin': 1, 'Joseph W. Conard': 1}
David Lehmann	{}
David Lenney	{'Byron Peterman': 1, 'Jamie Lutz': 1}
David Leo Weimer	{}
David Levhari	{'Bezalel Peleg': 1, 'Jacob Paroush': 1}
David Levinson	{}
David Levy	{'John Maloney': 1}
David Lewin	{'Robert Taggart': 1}
David Leyton-Brown	{'Gerardo Bueno': 1, 'Clark W. Reynolds': 1, 'Leonard Waverman': 1}
David M. Blau	{'Philip K. Robins': 1}
David M. Brock	{'Oded Shenkar': 1, 'Amir Shoham': 1, 'Ilene C. Siscovick': 1}
David M. Bruce	{'Marion J. Jackson': 1, 'Antoni Serra Cantallops': 1}
David M. Cutler	{'Louise Sheiner': 1}
David M. Gardner	{'James F. Engel': 1}
David M. Levy	{'Sandra J. Peart': 1}
David M. Maloney	{'David H. Butler': 1}
David M. Rabban	{'Archie Kleingartner': 1, 'Evelyn Hunt': 1}
David M. Reaume	{'George I. Treyz': 1}
David M. Schweiger	{}
David M. Smersh	{'Greg T. Schwartz,': 1}
David M. Winch	{'David K. Whitcomb': 1}
David Maddison	{'Terry Foster': 1}
David Mangan	{'Peter Leisink': 1, 'Ulke Veersma': 1, 'Bram Steijn': 1}
David Mann	{}
David Martimort	{'Thierry Verdier': 1}
David McCarthy	{'Anthony Neuberger': 1}
David McCord Wright	{'Henry Simons': 1, 'M. W. Reder': 1, 'George N. Halm': 1}
David Mechanic	{}
David Merriman	{'Mark Skidmore': 1}
David Mitch	{'Diane Coyle': 1}
David Moment	{'William Foote Whyte': 1, 'Edith L. Hamilton': 1}
David N. Ammons	{}
David N. Burt	{'Joseph E. Boyett,': 1}
David N. DeJong	{'Charles H. Whiteman': 1}
David N. F. Bell	{'David G. Blanchflower': 1}
David N. Lucsko	{'Vaclav Smil': 1}
David N. Weil	{'Diane J. Macunovich': 1}
David Neumark	{'Elizabeth T. Powers': 1}
David Norr	{}
David Novick	{}
David O. Cushman	{}
David O. Whitten	{'Thomas A. Becnel': 1}
David Orden	{'Joachim Schleich': 1, 'Preston J. Miller': 1}
David Ormrod	{'G. D. Snooks': 1}
David P. Eastburn	{}
David P. Lepak	{'Ken G. Smith': 1, 'M. Susan Taylor': 1}
David P. Rutenberg	{}
David P. Snyder	{}
David Patrick Rochester	{}
David Pollard	{'Morris L. Bian': 1, 'Petr Nolan': 1, 'Shu Guang Zhang': 1}
David Pong	{'Wu Chengming': 1, 'Xu Dixin': 1}
David Prain	{}
David R. Baldwin	{}
David R. Bell	{'Ganesh Iyer': 1, 'V. Padmanabhan': 1}
David R. Collie	{}
David R. Fox	{}
David R. Harvey	{}
David R. Just	{'Steven A. Wolf': 1, 'David Zilberman': 1, 'Steve Wu': 1}
David R. Kamerchen	{}
David R. Kamerschen	{'Michael Louw': 1, 'John Barratt': 1}
David R. Karger	{'Neal E. Young': 1, 'Philip Klein': 1, 'Mikkel Thorup': 1, 'Cliff Stein': 1}
David R. Klock	{}
David R. Lee	{'John M. Antle': 1}
David R. Meinster	{'Rodney D. Johnson': 1}
David R. Peterson	{}
David R. Ringrose	{'M. Garc\xc3\xada Bonaf\xc3\xa9': 1, 'Rafael Aracil': 1}
David R. Roberts	{}
David Roberts,	{}
David Romer	{}
David Rönnegard	{}
David S. Bates	{}
David S. Evans	{'James J. Heckman': 1}
David S. Huang	{}
David S. Kidwell	{'M. Wayne Marr': 1, 'G. Rodney Thompson': 1}
David S. Kleinman	{}
David S. Landes	{'Jean Lambert-Dansette': 1, 'Jacques Chastenet': 1, 'Claude Fohlen': 1}
David S. Loughran	{}
David S. Rubin	{}
David S. Saal	{'Tom Weyman-Jones': 1, 'David Parker': 1}
David S. Stoller	{'Daniel Teichroew': 1}
David Sanderson	{}
David Seddon	{}
David Siegel	{'Ray C. Rist': 1}
David Simchi-Levi	{}
David Simon	{'Richard Stren': 1, 'Claire Letemendia': 1, 'Claude Stren': 1}
David Simpson	{'M. Allingham': 1}
David Skarbek	{}
David Soberman	{'Hubert Gatignon': 1}
David Solomons	{}
David Sonderman	{'Philip G. Abrahamson': 1}
David Soskice	{'Torben Iversen': 1}
David Stadelmann	{'Reiner Eichenberger': 1}
David Sternlight	{'A. E. Maxwell': 1}
David Swinbanks	{}
David T. Brown	{}
David T. Li	{'Jeffrey H. Dorfman': 1}
David T. Robinson	{'Berk A. Sensoy': 1}
David T. Stanley	{}
David T. Yi	{}
David Thompson	{}
David Urquhart	{}
David Vardy	{'Richard Simeon': 1}
David Vines	{'Francis Cripps': 1, 'Wynne Godley': 1}
David W. Blackwell	{'Michael F. Spivey': 1, 'M. Wayne Marr': 1, 'Thomas R. Noland': 1, 'Drew B. Winters': 1}
David W. Conrath	{'William F. Hamilton': 1}
David W. Cravens	{}
David W. Emmons	{'John A. Rizzo': 1}
David W. Finn	{'Roy Anderson': 1, 'Julie Baker': 1, 'Greg W. Marshall': 1}
David W. Galenson	{'Douglass C. North': 1}
David W. Harless	{'George E. Hoffer': 1}
David W. Hutton	{'Margaret L. Brandeau': 1, 'Samuel K. So': 1}
David W. McDonald	{'Harry S. Leahey': 1}
David W. Miller	{'Joel E. Cohen': 1, 'R. Sauer': 1, 'Albert J. Simone': 1, 'Gerald M. Smith': 1, 'Merlin L. James': 1, 'I. Szabo': 1, 'Arthur Yaspan': 1, 'James C. Wolford': 1}
David W. Peterson	{'Willard I. Zangwill': 1, 'Eugene M. Lerner': 1}
David W. Rasmussen	{}
David W. Walkup	{}
David Washbrook	{'S. Arasaratnam': 1, 'Sinnapah Arasaratnam': 1, 'Aniruddha Ray': 1}
David Weeks	{'Hoon K. Lee': 1}
David Weiner	{}
David Wheeler	{'Brian\xc2\xa0R.\xc2\xa0 Copeland': 1, 'M.\xc2\xa0Scott\xc2\xa0 Taylor': 1}
David Wiley Mullins,	{}
David William Seckler	{'Andrew Schmitz': 1}
David Wyss	{'Peter S. Spiro': 1}
David Zetland	{'Navin Yavapolkul': 1, 'Carlo Russo': 1}
David Zilberman	{'Steve Sexton': 1, 'Deepak Rajagopal': 1, 'Gal Hochman': 1, 'Govinda Timilsina': 1}
David de Meza	{'David C. Webb': 1}
David A. Weisbach	{}
David J. McKenzie	{'Steven\xc2\xa0N.\xc2\xa0 Durlauf': 1, 'Karla\xc2\xa0 Hoff': 1, 'Samuel\xc2\xa0 Bowles': 1}
Davina Vora	{'Kendall Roth': 1, 'Tatiana Kostova': 1}
Davis Dyer	{'David A. Hounshell': 1, 'John Kenly Smith,': 1}
Dean A. Worcester,	{'Thomas Sowell': 1}
Dean B. McFarlin	{'Michael R. Frone': 1, 'Brenda Major': 1, 'Ellen Konar': 1}
Dean G. Smith	{'Lawrence C. Rose': 1}
Dean J. Kotlowski	{'Nigel Bowles': 1, 'Allen J. Matusow': 1}
Dean Jolliffe	{}
Dean Kampanje Phiri	{'Jessica Mzamu Kampanje': 1, 'Vera Chirwa': 1}
Dean Karlan	{'Jonathan Zinman': 1}
Dean L. Yarwood	{}
Dean Langmuir	{}
Dean Rusk	{}
Dean Savage	{}
Dean T. Jamison	{}
Dean Tjosvold	{'Yuan Tsao': 1}
Dean W. Tjosvold	{'Mary M. Tjopsvold': 1}
Debabrata Dey	{'Sumit Sarkar': 1}
Debbie J. Dupuis	{'Fr\xc3\xa9d\xc3\xa9ric Godin': 1, 'Genevi\xc3\xa8ve Gauthier': 1}
Debojyoti Sarkar	{}
Deborah A. Cobb-Clark	{'Clinton R. Shiells': 1, 'B. Lindsay Lowell': 1}
Deborah A. Verstegen	{'Lisa G. Driscoll': 1}
Deborah Amaral	{'David L. Sills': 1, 'Thomas H. Moss': 1}
Deborah Ann Fung	{'Hung-Gay Gerlowski': 1}
Deborah E. Rupp	{'Chris M. Bell': 1}
Deborah Evelyn	{'L. B. Wilson': 1, 'E. S. Page': 1}
Deborah Hughes Hallett	{}
Deborah K. Barrow	{'Carol Andreas': 1}
Deborah L. Gladstein	{'Nora P. Reilly': 1}
Deborah L. Leitsch	{}
Deborah M. Figart	{'Lonnie Golden': 1}
Deborah Oxley	{'Marjorie Theobald': 1}
Deborah Roedder John	{'Catherine A. Cole': 1, 'Barbara Loken': 1, 'Christopher Joiner': 1}
Deborah Simonton	{'Monica Chojnacka': 1}
Deborah T. Bond	{}
Debra A. Haley	{}
Debra Glassman	{'Angela Redish': 1}
Debra L. Casey	{'G. Steven McMillan': 1}
Debra L. Scammon	{'Elizabeth Gelfand Miller': 1, 'Robert M. Schindler': 1, 'Shalini Bahl': 1, 'Jeremy Kees': 1, 'Punam A. Keller': 1, 'Tracey King': 1, 'Scott D. Williams': 1, 'Paula C. Peter': 1, 'Pia A. Albinsson': 1, 'Jesse R. Catlin': 1, 'Lawrence B. Li': 1, 'Ann M. Mirabito': 1, 'Kelly L. Haws': 1}
Dee Von Bailey	{}
DeeVon Bailey	{'B. Wade Brorsen': 1, 'Chris Fawson': 1}
Deepak K. Datta	{'James P. Guthrie': 1}
Delmar K. Banner	{'Peter J. Barry': 1, 'Delman K. Banner': 1}
Delmer M. Brown	{'Thomas C. Smith': 1}
Delphine Manceau	{'Pierre Volle': 1}
Dena G. Weiss	{}
Denis A. Lussier	{'Richard W. Olshavsky': 1}
Denis Baranger	{'Juan Samaja': 1}
Denis CARRE	{}
Denis Fougère	{'Julien Pouget': 1, 'Francis Kramarz': 1}
Denis G. Arnold	{}
Denis Lambert	{'Paul Bairoch': 1}
Denis Langlois	{'Vanessa Molina': 1, 'Andr\xc3\xa9 Corten': 1, 'Julie Girard-Lemay': 1}
Denis Smith	{'Garth Stevenson': 1}
Denise J. Doiron	{'W. Craig Riddell': 1}
Denise Kleinrichert	{}
Denise Köllges	{'Julia Ruhle': 1, 'Sascha S\xc3\xbc\xc3\x9f': 1}
Dennis A. Gioia	{}
Dennis B. Hwang	{'Yan Chen': 1, 'Patricia L. Golemon': 1, 'Teng-Shih Wang': 1, 'Wen-Shai Hung': 1}
Dennis C. Mueller	{}
Dennis Coates	{'Bonnie Wilson': 1, 'Jac C. Heckelman': 1}
Dennis E. Logue	{'Richard James Sweeney': 1}
Dennis Epple	{'Allan Zelenitz': 1}
Dennis H. Gensch	{}
Dennis H. Robertson	{}
Dennis Ischorn	{}
Dennis J. Aigner	{}
Dennis J. Cahill	{'Richard L. Bushman': 1}
Dennis J. Snower	{}
Dennis Kristensen	{}
Dennis Lee	{}
Dennis M. Byrne	{}
Dennis McIntyre	{}
Dennis Patrick Leyden	{'Albert N. Link': 1}
Dennis R. Lee	{}
Dennis R. Murphy	{'Philip Cagan': 1, 'Robert E. Lipsey': 1}
Dennis R. Young	{'Paul J. DiMaggio': 1, 'Walter W. Powell': 1}
Dennis Schlais	{}
Dennis W. Carlton	{}
Dennis W. Jansen	{'Jae-Woo Lee': 1}
Denos Gazis	{'R. L. Nichols': 1, 'R. M. Stark': 1}
Deon Filmer	{'Lant H. Pritchett': 1, 'Jeffrey S. Hammer': 1}
Derek Byerlee	{'Peter Hazell': 1, 'John Kerr': 1}
Derek Channon	{'M. Robson': 1}
Derek F. Channon	{}
Derek H. Aldcroft	{'Michael J. Hogan': 1, 'Barry Eichengreen': 1}
Derek Hum	{'Thomas E. Kierans': 1}
Derek Leebaert	{'Archie D. Barrett': 1, 'Daniel Poneman': 1}
Derek Leslie	{'P. K. Triveldi': 1, 'I. F. Pearce': 1, 'G. J. Anderson': 1, 'C. T. Stromback': 1}
Derek S. Bottomley	{}
Derek Stacey	{}
Dermot Gately	{}
Dermot J. Hayes	{'Jimmye S. Hillman': 1}
Dermot McAleese	{'G. Fels': 1, 'W. M. Corden': 1}
Derrick S. Boone	{'Michelle Roehm': 1}
Desmond Morton	{}
Detlef Bischof	{'Christoph Reichard': 1}
Detlef Briesen	{'Harald Engler': 1}
Detlef Gottschalck	{}
Detlef Sack	{'Karsten Schneider': 1}
Detlev Nitsch	{'Shige Makino': 1, 'Paul Beamish': 1}
Detlev Taranczewski	{'Jeffrey P. Mass': 1}
Deutscher Gewerkschaftsbund	{}
Devashish Mitra	{'Gene M. Grossman': 1, 'Elhanan Helpman': 1}
Devendra Canchi	{'Ken Foster': 1, 'Paul V. Preckel': 1, 'Ning Li': 1, 'Brian Richert': 1, 'Allan Schinckel': 1}
Devra L. Golbe	{'Barry Schachter': 1}
Dexter M. Keezer	{}
Diaa Gabbani	{}
Diana C. Robertson	{'N. Craig Smith': 1}
Diana Crane	{}
Diane Dodd-McCue	{'Harold M. Schroder': 1}
Diane Drummond	{'Jack Simmons': 1, 'Gordon Biddle': 1}
Diane E. Johnson	{'Stan B. Davis': 1, 'Thomas L. Albright': 1}
Diane L. Swanson	{'Don Cohen': 1}
Diane Lim Rogers	{'Judy A. Temple': 1}
Diane M. Dewar	{}
Diane Meghetti	{'Diane Menghetti': 1, 'John B. Hirst': 1}
Diane-Gabrielle Tremblay	{'Donna S. Lero': 1, 'Denise L. Whitehead': 1, 'Karen Korabik': 1}
Dic Lo	{'Guy Liu': 1, 'Donald Hay': 1, 'Derek Morris': 1}
Dick A. Leabo	{}
Dick Bonker	{}
Dick Netzer	{'Alan R. Prest': 1}
Dick Onians	{}
Didier Chabaud	{'Claude Parthenay': 1, 'Yannick Perez': 1}
Diego García	{'Francesco Sangiorgi': 1}
Diego R. Roque	{}
Dieter Brümmerhoff	{'Manfried Gantner': 1}
Dieter Bögenhold	{'Joel Waldfogel': 1}
Dieter Bös	{'Sijbren Cnossen': 1, 'M. A. Crew': 1, 'P. R. Kleindorfer': 1}
Dieter Georg Herbst	{}
Dieter Helm	{}
Dieter J. Haas	{}
Dieter M. R. Hartweg	{'Ulrich M\xc3\xbcller': 1}
Dieter Pohmer	{}
Dieter Schimanke	{'Peter Eichhorn': 1, 'G\xc3\xbcnter Sieben': 1}
Dieter Schmidtchen	{'Achim Mayer': 1}
Dieter Schneider	{'Christian A. Rasenack': 1}
Dieter Schoof	{'W. T. Newlyn': 1}
Dieter Wagner	{'Gerhard Kilz': 1, 'Karl Linnenkohl': 1, 'Hans-J\xc3\xbcrgen Rauschenberg': 1, 'Thomas Kick': 1, 'Dirk A. Reh': 1}
Dieter Wunderlich	{}
Dieter Ziegler	{'Imke Thamm': 1}
Diether Döring	{'Werner Abelshauser': 1}
Dietmar Haubold	{'Wolfgang Michalski': 1}
Dietrich Budäus	{'Gernod Gr\xc3\xbcning': 1}
Dietrich Kausche	{'Margarete Schindler': 1}
Dietrich v. Gladiss	{}
Dietz Leonhard	{'Karl Christian Behrens': 1}
Dik Warren Twedt	{}
Dilek Çetindamar	{'Jens Laage-Hellman': 1}
Dilip Mookherjee	{'Debraj Ray': 1, 'Masatoshi Tsumagari': 1, 'I. P. L. Png': 1, 'Stefan Napel': 1}
Dillon M. Feuz	{}
Dimitri Pronin	{'Naum Jasny': 1}
Dimitri T. Pronin	{}
Dimitri WEISS	{'M. Maurice': 1, 'Pierre Bourdieu': 1, 'J.-J. Silvestre': 1, 'Fran\xc3\xa7ois Bourricaud': 1, 'Raymond Boudon': 1, 'F. Sellier': 1, 'Luc Boltanski': 1}
Dimitrios Buhalis	{}
Dimitris Kenourgios	{'Aristeidis Samitas': 1, 'Nikos Paltalidis': 1}
Dimitris Vrettos	{}
Dipankar Ghosh	{'Margaret N. Boldt': 1}
Dipayan Biswas	{'Donald R. Lehmann': 1, 'Courtney Szocs': 1, 'Aradhna Krishna': 1}
Diran Bodenhorn	{'Almarin Phillips': 1, 'Oliver E. Williamson': 1}
Dirk Bergemann	{'Juuso V\xc3\xa4lim\xc3\xa4ki': 1, 'Xianwen Shi': 1}
Dirk Blasius	{'Ewald Grothe': 1, 'Volker Koop': 1}
Dirk Bunzel	{}
Dirk Frantzen	{}
Dirk Holtbrügge	{'M. E. Domsch': 1, 'T. Lidokhover': 1}
Dirk Krueger	{'Fabrizio Perri': 1}
Dirk Meyer	{}
Dirk Müller	{'Stephanie Stock': 1, 'Claudia Stracke': 1, 'Bj\xc3\xb6rn Stollenwerk': 1, 'Lisa Borsi': 1}
Dirk Schumann	{'Reinhard Sch\xc3\xbcren': 1}
Dirk Stocksmeier	{}
Dirk Van de gaer	{'Joost Vandenbossche': 1, 'Jos\xc3\xa9 Luis Figueroa': 1}
Dixwell L. Pierce	{}
Dmitri Kuksov	{}
Do-Hyung Park	{'Jumin Lee': 1, 'Ingoo Han': 1}
Dodo zu Knyphausen-Aufseß	{'Lars Schweizer': 1, 'Andreas Meck': 1}
Doina Radulescu	{}
Domenica Tropeano	{}
Domenico Mario Nuti	{}
Domingo Ribeiro Soriano	{'Gary J. Castrogiovanni': 1}
Dominic Elliott	{'Gerald Mars': 1, 'David Weir': 1}
Dominic Power	{'Masahisa Fujita': 1, 'Paul Krugman': 1, 'Anthony J. Venables': 1}
Dominique Carreau	{'Joseph Gold': 1}
Dominique Demougin	{'Claude Fluet': 1, 'Carsten Helm': 1}
Dominique Peyrat-Guillard	{}
Dominique Pépin	{}
Domènec Melé	{}
Don B. Panton	{'William A. Verdini': 1}
Don Bredin	{'John Parsons': 1}
Don C. Bridenstine	{'Paul B. Trescott': 1}
Don D. Lescohier	{}
Don E. Roper	{}
Don Elan	{'G. Robert Sanderson': 1}
Don K. Price	{'Sidney Hyman': 1}
Don Kanel	{}
Don L. Coursey	{}
Don M. Soule	{}
Don Patinkin	{'Robert Loring Allen': 1}
Don Q. Crowther	{'Ann J. Herlihy': 1}
Don R. Conlan	{}
Don R. Sheriff	{'Bruno Stein': 1, 'Edward B. Jakubauskas': 1, 'Paul V. Johnson': 1}
Don V. Plantz	{'Sidney Homer': 1}
Don Winkelmann	{}
Donald A. Hay	{'Guy S. Liu': 1}
Donald A. Taylor	{}
Donald A. Woolf	{'Daniel A. Wren': 1}
Donald B. Hausch	{}
Donald B. Marsh	{}
Donald B. Vogel	{}
Donald C. Hambrick	{"Richard A. D'Aveni": 1}
Donald C. Marschner	{'E. Jerome McCarthy': 1}
Donald C. Wellington	{'Larry Neal': 1}
Donald Clark Hodges	{}
Donald Cox	{'Emmanuel Jimenez': 1}
Donald E. Campbell	{'Theodore Groves': 1, 'Roy Radner': 1, 'Stanley Reiter': 1}
Donald E. Conlon	{'Daniel P. Sullivan': 1}
Donald E. Frey	{}
Donald E. Pursell	{}
Donald Elisburg	{'Joseph LaDou': 1}
Donald Erlenkotter	{'J. Scott Rogers': 1}
Donald F. Gordon	{'Corrado Benassi': 1, 'Allessandra Chirco': 1, 'Merton H. Miller': 1, 'Fritz Machlup': 1, 'Caterina Colombo': 1}
Donald F. Mulvihill	{'Roland S. Vaile': 1}
Donald F. Vitaliano	{}
Donald Franklin Joyce	{}
Donald G. McClelland	{'Erik P. Eckholm': 1, 'Lester R. Brown': 1}
Donald G. McFetridge	{'Peter R. Andersen': 1, 'David A. Wilton': 1, 'Lawrence H. Officer': 1}
Donald G. Morrison	{'Sandra L. Karpis': 1}
Donald G. Paterson	{'Dale W. Jorgenson': 1, 'Ralph Landau': 1}
Donald G. Saari	{'Anne Petron': 1}
Donald H. Davenport	{'Frances V. Scott': 1}
Donald H. Dutkowsky	{'H. Sonmez Atesoglu': 1}
Donald H. Manley	{'Michael D. Reed': 1}
Donald H. Silva	{}
Donald Hicks	{}
Donald Hoke	{}
Donald J. Bogue	{}
Donald J. Boudreaux	{'Thomas M. Jorde': 1, 'David J. Teece': 1}
Donald J. Harris	{}
Donald J. Marshall	{'Dorman L. Commons': 1}
Donald J. Mathieson	{}
Donald J. Meyer	{'Jack Meyer': 1, 'John B. Van Huyck': 1, 'Raymond C. Battalio': 1, 'Thomas R. Saving': 1}
Donald J. White	{}
Donald Johnson	{'Michael Boehlje': 1}
Donald L. Huddle	{'Howard S. Ellis': 1}
Donald L. Koch	{'Joseph A. Whitt': 1, 'Joseph T. Doyle': 1}
Donald L. McCabe	{'Janet M. Dukerich': 1, 'Jane E. Dutton': 1}
Donald L. Shawver	{'Harry Simmons': 1}
Donald Lessard	{'Piet Sercu': 1, 'Raman Uppal': 1}
Donald M. Landay	{'Kurt Braun': 1, 'Merton C. Bernstein': 1}
Donald M. Levine	{'Donna H. Kerr': 1, 'Douglas G. Bailey': 1}
Donald McConnell	{}
Donald P. Tucker	{}
Donald R. Burrus	{}
Donald R. Chambers	{'Willard T. Carleton': 1, 'Richard W. McEnally': 1}
Donald R. Deere	{}
Donald R. Fraser	{'Peter S. Rose': 1}
Donald R. Hodgman	{}
Donald R. Knop	{'John P. Walter': 1}
Donald R. Matthews	{'James A. Robinson': 1}
Donald R. Nichols	{}
Donald S. Kenkel	{}
Donald S. Tull	{}
Donald Schaefer	{'Jean Ensminger': 1}
Donald V. Smiley	{}
Donald Vredenburgh	{'Yael Brender': 1}
Donald W. K. Andrews	{'Gustavo Soares': 1}
Donald W. Reid	{'Bernard V. Tew': 1}
Donald Wittman	{}
Dong W. Cho	{}
Dong-Gil Ko	{'William R. King': 1, 'Laurie J. Kirsch': 1}
Dong-Hun Kim	{}
Dongchul Cho	{}
Dongwoo Shin	{'Abhijit Biswas': 1, 'Ji Hee Song': 1}
Donnie L. Daniel	{'William A. Sirmon': 1}
Doris Hanappi	{}
Doris Hausser	{}
Doron Avramov	{'John\xc2\xa0C. Chao': 1}
Dorothe Bonjour	{'Denise D. Hawkes': 1, 'Jonathan E. Haskel': 1, 'Tim D. Spector': 1, 'Lynn F. Cherkas': 1}
Dorothea Alewell	{}
Dorothea Blomeyer	{'Friedhelm Pfeiffer': 1, 'Katja Coneus': 1, 'Manfred Laucht': 1}
Dorothea Tuney	{}
Dorothea Weltecke	{'Uriel I. SIMONSOHN': 1}
Dorothy D. Gondos	{'John Hope Franklin': 1}
Dorothy Haworth Bonnell	{}
Dorothy Kittner Greene	{}
Dorothy Leonard-Barton	{}
Dorothy P. Rice	{}
Dorothy Pickles	{}
Dorothy R. Kittner	{}
Dorothy S. Brady	{'Faith M. Williams': 1}
Dorothy S. Projector	{}
Dorothy Swaine Thomas	{'Jan Wallander': 1}
Dosoung Choi	{'Robert A. Strong': 1}
Douglas A. Hayes	{'Philip A. Fisher': 1}
Douglas A. Holler	{'Roy N. Van Arsdall': 1}
Douglas A. Irwin	{}
Douglas A. Wion	{}
Douglas Almond	{}
Douglas C. Ewbank	{'A. Meredith John': 1}
Douglas Craig	{'Elizabeth Fones-Wolf': 1}
Douglas D. Davis	{'Bart J. Wilson': 1}
Douglas D. Purvis	{}
Douglas F. Dowd	{'Rosario Romeo': 1, 'Mario Romani': 1}
Douglas F. Greer	{'Albert N. Link': 1, 'John C. Hilke': 1, 'Gregory Tassey': 1}
Douglas Fisher	{'Peter Lambert': 1, 'Knut Borchardt': 1, 'Peter I. Berman': 1, 'Adrian R. Fleissig': 1, 'Apostolos Serletis': 1}
Douglas Gale	{'Gerhard Schwodiauer': 1}
Douglas Greenwald	{}
Douglas H. Graham	{}
Douglas Hamilton	{'John Kurt Jacobsen': 1}
Douglas Holtz-Eakin	{'Harvey S. Rosen': 1, 'Whitney Newey': 1}
Douglas J. Amy	{}
Douglas J. Lober	{}
Douglas J. Miller	{}
Douglas Knoop	{'G. P. Jones': 1}
Douglas L. Kruse	{'Alicia Munnell': 1, 'Zvi Bodie': 1}
Douglas M. Gale	{'Shachar Kariv': 1}
Douglas M. Walker	{'John D. Jackson': 1}
Douglas McCalla	{'Kris Inwood': 1}
Douglas McCulloch	{}
Douglas P. Woodward	{'Robert J. Rolfe': 1}
Douglas R. Bohi	{'Gerald W. Scully': 1}
Douglas R. Hale	{}
Douglas R. Kahl	{'Johannes Ledolter': 1}
Douglas R. Littlefield	{'Thomas F. Hahn': 1}
Douglas T. Hall	{'Benjamin Schneider': 1, 'Harold T. Nygren': 1}
Douglas W. Allen	{'Dean Lueck': 2}
Douglas W. Mitchell	{}
Douglass C. North	{}
Douwe Postmus	{'Gert van Valkenhoef': 1, 'Tommi Tervonen': 1, 'Erik Buskens': 1, 'Hans L. Hillege': 1}
Dov Monderer	{}
Dove Izraeli	{'Mark S. Schwartz': 1}
Doyle L. Weiss	{'Franklin S. Houston': 1, 'Pierre Windal': 1}
Doyle Z. Williams	{}
Drew Fudenberg	{'Kevin He': 1}
Drucilla Ekwurzel	{'John McMillan': 1}
Duane Chapman	{}
Duane Neuman	{'Danny A. Klinefelter': 1, 'John B. Penson,': 1, 'David A. Lins': 1}
Duane Windsor	{'Dale W. Jorgenson': 1, 'Ralph Landau': 1}
Dubravka Galliers	{'Robert D. Henfridsson': 1, 'Ola Newell': 1, 'Sue Vidgen': 1}
Dudley Baines	{'Paul Johnson': 1}
Dudley Heath	{}
Dudley Seers	{'Albert O. Hirschman': 1}
Duff Spafford	{'Richard Nadeau': 1, 'Andr\xc3\xa9 Blais': 1, 'Elisabeth Gidengil': 1, 'Neil Nevitte': 1}
Duncan Black	{}
Duncan Burn	{}
Duncan Bythell	{'James A. Schmiechen': 1}
Duncan C. Fraser	{}
Duncan H. Meldrum	{}
Duncan Innes	{}
Duncan K. Foley	{'Miguel Sidrauski': 1}
Duncan M. Ross	{'David J. Jeremy': 1}
Duncan MacRae,	{'Dale Whittington': 1}
Dusan Skidmore	{}
Duygu Turker	{}
Dvora Yanow	{}
Dwaine Umberger	{'Gordon Rodewald': 1}
Dwight B. Yntema	{'William Alfred Spurr': 1}
Dwight Grant	{}
Dwight Merunka	{'Jean-Bernard Kazmierczak': 1}
Dwight R. Lee	{'Robert D. Tollison': 1}
Dwight R. Sanders	{'Scott H. Irwin': 1}
Dwight Waldo	{'Charles T. Goodsell': 1, 'Robert N. Bacher': 1, 'Orion F. White': 1, 'Phillip S. Kronenberg': 1, 'Camilla M. Stivers': 1, 'Gary L. Wamsley': 1, 'John A. Rohr': 1, 'James F. Wolf': 1}
Dóra Győrffy	{'T. Erd\xc5\x91s': 1}
E. A. Brayley Hodgetts	{}
E. A. Duddy	{'W. A. Mackintosh': 1}
E. A. Heilman	{}
